country,pop,urb,gdp,dist,hf,pf,ef,date_first,detection,status,cumul,air,datetime,cases,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,china_start,start_date,corona_converge_days
Uganda,42723139,23.774,2038.07389195994,8276651.34276376,6.61,5.82417605448186,7.39,83,50.3,1,303691,21.54,2020-06-09,30,0.95776814,2019-12-30,2020-03-22,79
Ukraine,44622516,69.352,9249.46213479507,5853700.99091845,6.26,6.56045178123176,5.96,65,36.5,1,92122,7854.84,2020-07-04,1790,28.85189572,2019-12-30,2020-03-04,122
United Arab Emirates,9630959,86.522,75075.2574109804,4911772.46023356,6.13,5.0872390644012,7.17,28,31.6,1,2815,95533.07,2020-05-28,883,118.55042399999999,2019-12-30,2020-01-27,122
UK,66488991,83.398,45973.5735044198,7765919.23651555,8.47,8.8497973721467,8.09,32,87.3,1,9817,165388.61,2020-04-22,4301,110.73548093,2019-12-30,2020-01-31,82
Tanzania,56318348,33.776,3240.26293721191,8585459.02200368,6.26,5.74813571252875,6.77,78,42.0,1,179092,1481.56,2020-04-30,174,0.67579844,2019-12-30,2020-03-17,44
USA,327167434,82.256,62794.5856522398,10196714.9719663,8.46,8.72004899385832,8.19,22,98.2,1,391,889022.0,2020-07-12,63051,224.07767036,2019-12-30,2020-01-21,173
Uruguay,3449299,95.334,23572.1774626679,18135343.8165274,7.74,8.42075401688034,7.05,76,33.5,1,153747,563.63,2020-03-31,29,8.52174822,2019-12-30,2020-03-15,16
Venezuela,28870195,88.208,18102.5,15058065.4963628,3.8,5.02701679925614,2.58,76,8.7,1,153747,2137.77,2020-07-12,375,14.19562447,2019-12-30,2020-03-15,119
Vietnam,95540395,35.919,7447.81433404948,2220676.42559354,6.29,6.31097335178539,6.27,25,57.4,1,896,47049.67,2020-04-02,21,0.16275821,2019-12-30,2020-01-24,69
Yemen,28498687,36.642,2575.12638534566,5972543.427751,4.3,2.75015021597511,5.84,102,9.0,1,1557188,336.31,2020-06-18,13,1.7111355,2019-12-30,2020-04-10,69
Zambia,17351822,43.521,4223.90693570847,9685536.8993264,6.49,6.13347837102269,6.84,80,21.9,1,211995,8.9,2020-05-23,54,4.21588134,2019-12-30,2020-03-19,65
Zimbabwe,14439018,32.209,3029.79300547992,9898131.09754964,5.65,5.6080239201755,5.69,82,65.6,1,269677,282.54,2020-07-12,40,2.83364013,2019-12-30,2020-03-21,113
